code	diisplay	definition
1000-9	Race	Race, Note that this is an abstract 'grouping' concept and not for use as a real concept
1004-1	American Indian	American Indian
1735-0	Alaska Native	Alaska Native
1006-6	Abenaki	Abenaki
1008-2	Algonquian	Algonquian
1010-8	Apache	Apache
1021-5	Arapaho	Arapaho
1026-4	Arikara	Arikara
1028-0	Assiniboine	Assiniboine
1030-6	Assiniboine Sioux	Assiniboine Sioux
1033-0	Bannock	Bannock
1035-5	Blackfeet	Blackfeet
1037-1	Brotherton	Brotherton
1039-7	Burt Lake Band	Burt Lake Band
1041-3	Caddo	Caddo
1044-7	Cahuilla	Cahuilla
1053-8	California Tribes	California Tribes
1068-6	Canadian and Latin American Indian	Canadian and Latin American Indian
1076-9	Catawba	Catawba
1078-5	Cayuse	Cayuse
1080-1	Chehalis	Chehalis
1082-7	Chemakuan	Chemakuan
1086-8	Chemehuevi	Chemehuevi
1088-4	Cherokee	Cherokee
1100-7	Cherokee Shawnee	Cherokee Shawnee
1102-3	Cheyenne	Cheyenne
1106-4	Cheyenne-Arapaho	Cheyenne-Arapaho
1108-0	Chickahominy	Chickahominy
1112-2	Chickasaw	Chickasaw
1114-8	Chinook	Chinook
1123-9	Chippewa	Chippewa
1150-2	Chippewa Cree	Chippewa Cree
1153-6	Chitimacha	Chitimacha
1155-1	Choctaw	Choctaw
1162-7	Chumash	Chumash
1165-0	Clear Lake	Clear Lake
1167-6	Coeur D'Alene	Coeur D'Alene
1169-2	Coharie	Coharie
1171-8	Colorado River	Colorado River
1173-4	Colville	Colville
1175-9	Comanche	Comanche
1178-3	Coos, Lower Umpqua, Siuslaw	Coos, Lower Umpqua, Siuslaw
1180-9	Coos	Coos
1182-5	Coquilles	Coquilles
1184-1	Costanoan	Costanoan
1186-6	Coushatta	Coushatta
1189-0	Cowlitz	Cowlitz
1191-6	Cree	Cree
1193-2	Creek	Creek
1207-0	Croatan	Croatan
1209-6	Crow	Crow
1211-2	Cupeno	Cupeno
1214-6	Delaware	Delaware
1222-9	Diegueno	Diegueno
1233-6	Eastern Tribes	Eastern Tribes
1250-0	Esselen	Esselen
1252-6	Fort Belknap	Fort Belknap
1254-2	Fort Berthold	Fort Berthold
1256-7	Fort Mcdowell	Fort Mcdowell
1258-3	Fort Hall	Fort Hall
1260-9	Gabrieleno	Gabrieleno
1262-5	Grand Ronde	Grand Ronde
1264-1	Gros Ventres	Gros Ventres
1267-4	Haliwa	Haliwa
1269-0	Hidatsa	Hidatsa
1271-6	Hoopa	Hoopa
